File    - I:\INLS\PLATFORMS\CF\LITTLECREEK-26FEB2016 RUN 1\PITCH\995.PLT                                                                      
Analysis- Motion analysis time history -                                                                                                      
Section - Structure number 2                                                                                                                  
Variable- Fender line # 1 (1-6)                                                                                                               
Freedom - - total force                                                                                                                       
Time(seconds)                          ,Newtons                                 
       7.520000                        ,       0.000000    
       7.560000                        ,       0.000000    
       7.600000                        ,       0.000000    
       7.640000                        ,       0.000000    
       7.680000                        ,       0.000000    
       7.720000                        ,       0.000000    
       7.760000                        ,       0.000000    
       7.800000                        ,       0.000000    
       7.840000                        ,       0.000000    
       7.880001                        ,       0.000000    
       7.920001                        ,       0.000000    
       7.960001                        ,       0.000000    
       8.000000                        ,       0.000000    
       8.040000                        ,       0.000000    
       8.080000                        ,       0.000000    
       8.120001                        ,       0.000000    
       8.160001                        ,       0.000000    
       8.200001                        ,       0.000000    
       8.240001                        ,       0.000000    
       8.280001                        ,       0.000000    
       8.320001                        ,       0.000000    
       8.360001                        ,       0.000000    
       8.400001                        ,       0.000000    
       8.440001                        ,       0.000000    
       8.480000                        ,       0.000000    
       8.520000                        ,       0.000000    
       8.560000                        ,       0.000000    
       8.600000                        ,       0.000000    
       8.640000                        ,       0.000000    
       8.680000                        ,       0.000000    
       8.720000                        ,       0.000000    
       8.760000                        ,       0.000000    
       8.800000                        ,       0.000000    
       8.840000                        ,       0.000000    
       8.880000                        ,       0.000000    
       8.920000                        ,       0.000000    
       8.960000                        ,       0.000000    
       9.000000                        ,       0.000000    
       9.040000                        ,       0.000000    
       9.080001                        ,       0.000000    
       9.120001                        ,       0.000000    
       9.160001                        ,       0.000000    
       9.200001                        ,       0.000000    
       9.240001                        ,       0.000000    
       9.280001                        ,       0.000000    
       9.320001                        ,       0.000000    
       9.360001                        ,       0.000000    
       9.400001                        ,       0.000000    
       9.440001                        ,       0.000000    
       9.480000                        ,       0.000000    
       9.520000                        ,       0.000000    
       9.560000                        ,       0.000000    
       9.600000                        ,       0.000000    
       9.640000                        ,       0.000000    
       9.680000                        ,       0.000000    
       9.720000                        ,       0.000000    
       9.760000                        ,       0.000000    
       9.800000                        ,       0.000000    
       9.840000                        ,       0.000000    
       9.880000                        ,       0.000000    
       9.920000                        ,       0.000000    
       9.960000                        ,       0.000000    
       10.00000                        ,       0.000000    
       10.04000                        ,       0.000000    
       10.08000                        ,       80078.77    
       10.12000                        ,       139452.3    
       10.16000                        ,       82936.94    
       10.20000                        ,       0.000000    
       10.24000                        ,       0.000000    
       10.28000                        ,       0.000000    
       10.32000                        ,       0.000000    
       10.36000                        ,       0.000000    
       10.40000                        ,       0.000000    
       10.44000                        ,       0.000000    
       10.48000                        ,       0.000000    
       10.52000                        ,       0.000000    
       10.56000                        ,       171994.2    
       10.60000                        ,       350603.5    
       10.64000                        ,       426737.3    
       10.68000                        ,       463544.3    
       10.72000                        ,       465409.6    
       10.76000                        ,       436623.4    
       10.80000                        ,       369388.7    
       10.84000                        ,       291932.0    
       10.88000                        ,       189923.9    
       10.92000                        ,       0.000000    
       10.96000                        ,       0.000000    
       11.00000                        ,       0.000000    
       11.04000                        ,       0.000000    
       11.08000                        ,       0.000000    
       11.12000                        ,       0.000000    
       11.16000                        ,       0.000000    
       11.20000                        ,       0.000000    
       11.24000                        ,       0.000000    
       11.28000                        ,       0.000000    
       11.32000                        ,       0.000000    
       11.36000                        ,       0.000000    
       11.40000                        ,       0.000000    
       11.44000                        ,       0.000000    
       11.48000                        ,       0.000000    
       11.52000                        ,       0.000000    
       11.56000                        ,       0.000000    
       11.60000                        ,       0.000000    
       11.64000                        ,       89911.01    
       11.68000                        ,       146435.2    
       11.72000                        ,       88287.29    
       11.76000                        ,       0.000000    
       11.80000                        ,       0.000000    
       11.84000                        ,       0.000000    
       11.88000                        ,       0.000000    
       11.92000                        ,       0.000000    
       11.96000                        ,       0.000000    
       12.00000                        ,       0.000000    
       12.04000                        ,       0.000000    
       12.08000                        ,       0.000000    
       12.12000                        ,       0.000000    
       12.16000                        ,       0.000000    
       12.20000                        ,       0.000000    
       12.24000                        ,       0.000000    
       12.28000                        ,       0.000000    
       12.32000                        ,       0.000000    
       12.36000                        ,       0.000000    
       12.40000                        ,       0.000000    
       12.44000                        ,       0.000000    
       12.48000                        ,       0.000000    
       12.52000                        ,       0.000000    
       12.56000                        ,       0.000000    
       12.60000                        ,       0.000000    
       12.64000                        ,       0.000000    
       12.68000                        ,       0.000000    
       12.72000                        ,       0.000000    
       12.76000                        ,       0.000000    
       12.80000                        ,       0.000000    
       12.84000                        ,       0.000000    
       12.88000                        ,       0.000000    
       12.92000                        ,       0.000000    
       12.96000                        ,       0.000000    
       13.00000                        ,       0.000000    
       13.04000                        ,       0.000000    
       13.08000                        ,       38895.57    
       13.12000                        ,       260829.2    
       13.16000                        ,       282182.4    
